# Sensor: Rotor
# Record count: 412
# Storage mode: Memory
# Datetime of save: 2026-04-08T11:32:08
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	-617.115 [24s]	-549.889 [24s]	70.7173 [0.3s]	4.77465 [0.3s]	0 [0s]	0 [0s]	-1.19519 [24s]	2.05442 [0.3s]	-0.179159 [24s]	44.583 [0.3s]	5.34877 [22.2s]	1.78292 [22.2s]	0 [0s]	8.59437 [0.3s]	0 [0s]	-2.0337 [78s]	-18.2566 [108s]	-1.63505 [51.3s]	0 [0s]	0 [0s]	0 [0s]	-6.86871 [11.7s]	-0.130641 [32.1s]	-0.130641 [32.1s]	-0.130641 [32.1s]	-6.00142e+06 [98.1s]
Max	27639.8 [19.5s]	26518.4 [19.5s]	2571.6 [20.4s]	11.2175 [22.2s]	7.02677 [34.2s]	13.209 [24.6s]	53.5312 [19.5s]	74.7078 [20.4s]	8.63994 [19.5s]	104.743 [22.2s]	12.5664 [0.3s]	4.18879 [0.3s]	357.823 [123.3s]	20.1916 [22.2s]	18.2945 [108s]	1.80957 [117.6s]	0 [0s]	1.35563 [34.2s]	0 [0s]	0 [0s]	0 [0s]	7.88506 [78s]	0.11789 [54.3s]	0.11789 [54.3s]	0.11789 [54.3s]	8.72337e+06 [54.3s]
Mean	10566.5	11050.6	915.692	9.26195	5.67231	9.25461	20.4646	26.6019	3.6004	86.4829	6.79952	2.26651	177.409	16.6715	15.2207	-0.0847694	-15.1911	-0.126041	0	0	0	0.263868	-0.00144212	-0.00144212	-0.00144212	689092
Standard deviation	3586.4	3672.08	297.735	1.59156	1.03443	4.23517	6.94593	8.64954	1.1964	14.8611	1.89124	0.630413	104.491	2.86481	1.35877	0.77587	1.35338	0.540065	0	0	0	2.90746	0.0451137	0.0451137	0.0451137	3.07405e+06
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	0	0	935.988	4.77465	0	0	0	27.1915	0	44.583	12.5664	4.18879	0	8.59437	0	0	0	0	0	0	0	0	0	0	0	0
0.3	-119.365	-238.729	70.7173	4.77465	2.90969	0	-0.231178	2.05442	-0.0777803	44.583	12.5664	4.18879	0	8.59437	15.3222	0.487817	-15.3083	0.434885	0	0	0	-1.82518	0	0	0	-0.00308913
0.6	7833.31	15666.6	841.427	4.77466	3.00047	0	15.1711	24.4444	5.10432	44.5831	12.5663	4.18878	8.59437	8.59439	14.8587	0.722789	-14.8196	0.798355	0	0	0	-2.79224	0	0	0	-334396
0.9	6680.48	13360.8	757.515	4.7747	3.077	0	12.9384	22.0067	4.35308	44.5835	12.5662	4.18874	17.1887	8.59446	14.4893	0.590445	-14.4663	0.563164	0	0	0	-2.33725	-1.47878e-06	-1.47878e-06	-1.47878e-06	-446011
1.2	6184.81	12369.2	716.658	4.7748	3.1042	0	11.9784	20.8197	4.03002	44.5844	12.566	4.18866	25.7832	8.59463	14.3626	0.970287	-14.3269	0.286305	0	0	0	-3.87442	0	0	0	72976.1
1.5	5857.11	11713.4	691.959	4.77498	3.02693	0	11.3437	20.1022	3.81634	44.5861	12.5655	4.1885	34.3777	8.59497	14.7298	0.734931	-14.7104	-0.17398	0	0	0	-2.86011	3.5202e-06	3.5202e-06	3.5202e-06	57129.8
1.8	5749.25	11496.9	683.252	4.7753	3.08164	0	11.1348	19.8492	3.74581	44.5891	12.5647	4.18822	42.9725	8.59554	14.4693	0.752131	-14.4496	-0.0653593	0	0	0	-2.97968	-1.47878e-06	-1.47878e-06	-1.47878e-06	-144820
2.1	5647.64	11292.5	672.982	4.77581	3.12779	0	10.938	19.5509	3.67922	44.5938	12.5633	4.18777	51.5678	8.59646	14.2573	0.508036	-14.2474	-0.15974	0	0	0	-2.0422	-1.00658e-05	-1.00658e-05	-1.00658e-05	-240539
2.4	5615.9	11227.3	670.315	4.77656	3.1476	0	10.8766	19.4734	3.65796	44.6009	12.5613	4.18711	60.1638	8.59782	14.1698	0.305035	-14.1662	-0.0958418	0	0	0	-1.23354	-1.3199e-05	-1.3199e-05	-1.3199e-05	-265749
2.7	5581.23	11155.5	668.231	4.77764	3.17319	0	10.8094	19.4129	3.63456	44.6109	12.5585	4.18617	68.7609	8.59975	14.0587	0.394722	-14.0522	-0.162316	0	0	0	-1.609	3.19453e-06	3.19453e-06	3.19453e-06	-38393.1
3	5647.97	11285.4	675.833	4.77912	3.13945	0	10.9387	19.6337	3.67688	44.6247	12.5546	4.18487	77.3597	8.60241	14.2142	-0.125112	-14.2127	-0.167334	0	0	0	0.504352	4.86576e-05	4.86576e-05	4.86576e-05	279883
3.3	5676.39	11337.5	676.162	4.7811	3.1913	0	10.9937	19.6433	3.69385	44.6432	12.5494	4.18314	85.9608	8.60597	13.989	-0.272631	-13.9859	0.110355	0	0	0	1.11674	7.81984e-05	7.81984e-05	7.81984e-05	335501
3.6	5687.56	11353.7	674.49	4.78365	3.14424	0	11.0153	19.5947	3.69914	44.6671	12.5427	4.1809	94.565	8.61058	14.206	-0.19692	-14.2041	-0.127276	0	0	0	0.794275	0.000165865	0.000165865	0.000165865	779412
3.9	5629.38	11230	667.695	4.78687	3.18957	0	10.9027	19.3973	3.65885	44.6971	12.5343	4.1781	103.173	8.61636	14.0135	-0.394587	-14.0064	-0.205413	0	0	0	1.6137	0.000212279	0.000212279	0.000212279	601027
4.2	5584.46	11131.2	663.968	4.79081	3.27098	0	10.8156	19.289	3.62666	44.7339	12.524	4.17466	111.787	8.62346	13.676	-0.457971	-13.6664	0.228088	0	0	0	1.9193	0.000146506	0.000146506	0.000146506	541451
4.5	5547.5	11046.6	658.553	4.79557	3.32143	0	10.7441	19.1317	3.59908	44.7784	12.5115	4.17052	120.407	8.63203	13.4816	-0.356848	-13.4651	0.564176	0	0	0	1.51808	0.000145194	0.000145194	0.000145194	331824
4.8	5505.33	10949.7	649.919	4.80124	3.24284	0	10.6624	18.8809	3.56751	44.8313	12.4968	4.16559	129.034	8.64223	13.8247	-0.567051	-13.805	0.473541	0	0	0	2.35215	9.97783e-05	9.97783e-05	9.97783e-05	168530
5.1	5515.76	10955.1	648.649	4.80794	3.30283	0	10.6826	18.844	3.56929	44.8938	12.4794	4.15979	137.671	8.65429	13.5925	-0.47918	-13.574	0.52255	0	0	0	2.02177	-7.69534e-05	-7.69534e-05	-7.69534e-05	-105406
5.4	5556.87	11018.7	647.321	4.81582	3.35249	0	10.7622	18.8054	3.59	44.9675	12.4589	4.15298	146.32	8.66848	13.4131	-0.710037	-13.3856	0.483558	0	0	0	3.0364	-0.000200593	-0.000200593	-0.000200593	-158151
5.7	5595.69	11074.5	652.512	4.82502	3.32041	0	10.8374	18.9562	3.60819	45.0534	12.4352	4.14506	154.981	8.68504	13.5686	-0.824344	-13.5375	0.403724	0	0	0	3.48462	-0.000650698	-0.000650698	-0.000650698	-811647
6	5613.39	11085.2	652.975	4.83564	3.28865	0	10.8717	18.9697	3.61166	45.1525	12.4079	4.13595	163.658	8.70416	13.7298	-0.284499	-13.7112	0.655362	0	0	0	1.18868	-0.00071142	-0.00071142	-0.00071142	-399269
6.3	5575.55	10983	650.081	4.84771	3.28841	0	10.7984	18.8856	3.57838	45.2652	12.377	4.12566	172.352	8.72588	13.7651	0.347333	-13.7511	0.512976	0	0	0	-1.4469	-0.000242261	-0.000242261	-0.000242261	-299859
6.6	5722.17	11239.9	665.958	4.86151	3.29203	0	11.0824	19.3468	3.66206	45.394	12.3419	4.11395	181.068	8.75071	13.7891	0.187698	-13.7649	0.794444	0	0	0	-0.781237	-0.000620371	-0.000620371	-0.000620371	-539335
6.9	5856.09	11465.5	675.731	4.87737	3.28782	0	11.3417	19.6308	3.73557	45.5422	12.3017	4.10057	189.806	8.77927	13.8518	0.530026	-13.8048	1.00975	0	0	0	-2.19876	-0.000504138	-0.000504138	-0.000504138	-261825
7.2	5921.2	11550.4	681.666	4.89536	3.24254	0	11.4678	19.8032	3.76323	45.7102	12.2565	4.0855	198.571	8.81165	14.097	0.58327	-14.069	0.669055	0	0	0	-2.37399	0.000127704	0.000127704	0.000127704	-76939.6
7.5	5999.05	11654.2	688.6	4.91555	3.21117	0	11.6186	20.0046	3.79705	45.8986	12.2062	4.06872	207.366	8.84798	14.2934	0.847924	-14.2675	0.143597	0	0	0	-3.40111	0.000470911	0.000470911	0.000470911	400972
7.8	6107.84	11811.2	697.831	4.93815	3.26012	0	11.8293	20.2728	3.84821	46.1097	12.1503	4.0501	216.196	8.88867	14.1435	0.852219	-14.1178	-0.026242	0	0	0	-3.45446	-0.000117997	-0.000117997	-0.000117997	-419462
8.1	6175.2	11881	702.538	4.96329	3.28482	0	11.9598	20.4095	3.87094	46.3444	12.0888	4.02959	225.064	8.93392	14.1087	1.00909	-14.0725	0.0463378	0	0	0	-4.10146	-0.000908783	-0.000908783	-0.000908783	-350919
8.4	6254.76	11967.1	707.574	4.99105	3.31869	0	12.1139	20.5558	3.899	46.6037	12.0215	4.00717	233.976	8.98389	14.0428	0.905138	-14.0094	-0.344177	0	0	0	-3.69671	-9.15212e-05	-9.15212e-05	-9.15212e-05	-167117
8.7	6400.98	12172	718.607	5.02177	3.31507	0	12.397	20.8763	3.96575	46.8905	11.948	3.98266	242.935	9.03918	14.1446	0.82643	-14.1201	-0.103825	0	0	0	-3.34962	-6.03045e-05	-6.03045e-05	-6.03045e-05	-120398
9	6616.68	12497.1	735.537	5.05595	3.31864	0	12.8148	21.3682	4.07167	47.2096	11.8672	3.95574	251.946	9.10071	14.2256	1.08007	-14.1799	0.365049	0	0	0	-4.35576	-6.89128e-05	-6.89128e-05	-6.89128e-05	128783
9.3	6669.11	12503.3	738.106	5.09347	3.35846	0	12.9163	21.4428	4.0737	47.56	11.7798	3.9266	261.016	9.16824	14.1612	1.20907	-14.1095	-0.0208024	0	0	0	-4.89781	0.00171548	0.00171548	0.00171548	672402
9.6	6752.65	12559.7	742.965	5.13413	3.39767	0	13.0781	21.584	4.09206	47.9396	11.6865	3.8955	270.151	9.24143	14.1095	0.860988	-14.0831	-0.0618047	0	0	0	-3.49849	0.00318481	0.00318481	0.00318481	1.09099e+06
9.9	6905.71	12734.7	754.02	5.17836	3.43276	0	13.3746	21.9051	4.14907	48.3526	11.5867	3.86223	279.355	9.32105	14.0857	1.02736	-14.0474	0.147645	0	0	0	-4.1829	0.00424342	0.00424342	0.00424342	1.27206e+06
10.2	7039.75	12862.5	764.037	5.22643	3.48031	0	13.6342	22.1961	4.19071	48.8014	11.4801	3.82671	288.637	9.40757	14.0222	1.09394	-13.9739	0.393918	0	0	0	-4.47623	0.00416419	0.00416419	0.00416419	992753
10.5	7229.84	13079.2	777.84	5.27862	3.52174	0	14.0023	22.5971	4.26131	49.2888	11.3666	3.78887	298.001	9.50152	13.9956	1.12654	-13.9438	0.420088	0	0	0	-4.61896	0.003256	0.003256	0.003256	823328
10.8	7477.11	13382.3	798.3	5.33551	3.58484	0	14.4812	23.1915	4.36006	49.82	11.2454	3.74847	307.455	9.60391	13.8974	1.26843	-13.8182	0.76623	0	0	0	-5.2447	0.00316156	0.00316156	0.00316156	745361
11.1	7765.07	13737.7	820.536	5.39763	3.55807	0	15.0389	23.8375	4.47587	50.4001	11.116	3.70533	317.008	9.71574	14.165	1.56113	-14.0614	0.697556	0	0	0	-6.33516	0.000803683	0.000803683	0.000803683	89938.9
11.4	8022.27	14017.2	835.66	5.46521	3.54375	0	15.5371	24.2769	4.56694	51.0311	10.9785	3.65951	326.668	9.83737	14.4003	1.6363	-14.284	0.81153	0	0	0	-6.53502	2.2443e-05	2.2443e-05	2.2443e-05	281001
11.7	8345.54	14389	859.122	5.53855	3.51178	0	16.1632	24.9584	4.68806	51.7159	10.8332	3.61105	336.445	9.9694	14.7264	1.75741	-14.5892	0.966137	0	0	0	-6.86871	2.11039e-05	2.11039e-05	2.11039e-05	-328254
12	8753.31	14877.1	886.771	5.61855	3.56368	0	16.9529	25.7617	4.84711	52.4629	10.6789	3.55964	346.348	10.1134	14.7216	1.38121	-14.6434	0.622212	0	0	0	-5.38839	-0.00158823	-0.00158823	-0.00158823	-164299
12.3	9157.3	15326	921.115	5.70571	3.64245	0	17.7353	26.7594	4.99336	53.2767	10.5158	3.50526	356.389	10.2703	14.6266	1.61728	-14.5306	0.428326	0	0	0	-6.35097	0.00252929	0.00252929	0.00252929	387780
12.6	9713.1	15989.3	960.508	5.80097	3.62908	0	18.8118	27.9038	5.20946	54.1662	10.3431	3.4477	6.58122	10.4417	14.9256	1.6965	-14.8257	0.30657	0	0	0	-6.52795	0.0042921	0.0042921	0.0042921	413594
12.9	10115.5	16361.1	990.804	5.90401	3.66583	0	19.5912	28.784	5.3306	55.1283	10.1626	3.38753	16.9372	10.6272	15.0384	1.47051	-14.9643	-0.250309	0	0	0	-5.6123	0.00143435	0.00143435	0.00143435	257208
13.2	10536.9	16732.6	1021.97	6.01342	3.6913	0	20.4073	29.6895	5.45165	56.15	9.97768	3.32589	27.4717	10.8242	15.2114	0.9617	-15.1796	-0.209387	0	0	0	-3.62512	0.00521614	0.00521614	0.00521614	666047
13.5	11073	17251.1	1059.97	6.12939	3.72096	0	21.4455	30.7934	5.62059	57.2329	9.7889	3.26297	38.1974	11.0329	15.3812	1.17711	-15.3343	0.232376	0	0	0	-4.38957	0.0111973	0.0111973	0.0111973	1.46786e+06
13.8	11571.3	17673.8	1090.13	6.2521	3.71556	0	22.4107	31.6695	5.75829	58.3786	9.59678	3.19893	49.1259	11.2538	15.7119	0.710844	-15.6951	0.148815	0	0	0	-2.59319	0.0112628	0.0112628	0.0112628	1.37738e+06
14.1	12004.3	17965.6	1128.77	6.38068	3.73101	0	23.2492	32.792	5.85335	59.5793	9.40338	3.13446	60.2693	11.4852	15.9687	0.139735	-15.9681	0.000811576	0	0	0	-0.501379	0.00821076	0.00821076	0.00821076	1.16389e+06
14.4	12852.2	18832.2	1186.49	6.51703	3.75817	0	24.8915	34.4688	6.1357	60.8524	9.20665	3.06888	71.6388	11.7307	16.192	-0.295465	-16.1893	0.0198068	0	0	0	1.04557	0.00199486	0.00199486	0.00199486	188127
14.7	13472.7	19312.4	1228.4	6.66174	3.83819	0	26.0931	35.6863	6.29217	62.2036	9.00665	3.00222	83.2467	11.9911	16.2065	-0.737093	-16.182	-0.501496	0	0	0	2.60804	-0.0026632	-0.0026632	-0.0026632	-101061
15	14349.3	20107.4	1301.6	6.81471	3.98256	0	27.7909	37.813	6.55117	63.632	8.80448	2.93483	95.1076	12.2665	15.9776	-0.617444	-15.9454	-0.805207	0	0	0	2.21752	-0.0032138	-0.0032138	-0.0032138	-548896
15.3	15610	21357.5	1365.33	6.97949	4.1322	0	30.2325	39.6643	6.95847	65.1706	8.59662	2.86554	107.236	12.5631	15.7714	-0.964109	-15.7105	-0.993811	0	0	0	3.51167	-0.00550306	-0.00550306	-0.00550306	-850673
15.6	16232	21668	1432.84	7.15359	4.20048	0	31.4371	41.6256	7.05963	66.7962	8.3874	2.7958	119.651	12.8765	15.902	-1.39786	-15.8161	-0.87851	0	0	0	5.05078	-0.00725946	-0.00725946	-0.00725946	-1.20745e+06
15.9	16600	21623.5	1495.1	7.33087	4.27606	0	32.15	43.4343	7.04513	68.4515	8.18457	2.72819	132.371	13.1956	16.0081	-1.53547	-15.93	-0.369996	0	0	0	5.50565	-0.0143404	-0.0143404	-0.0143404	-2.10796e+06
16.2	17328.8	22028.9	1569.43	7.51184	4.28842	0	33.5614	45.5936	7.17723	70.1414	7.98739	2.66246	145.407	13.5213	16.356	-1.93192	-16.2414	-0.0629018	0	0	0	6.7835	-0.00827737	-0.00827737	-0.00827737	-652856
16.5	18867.7	23389.4	1659	7.70318	4.4823	0	36.5418	48.1959	7.62049	71.928	7.78899	2.59633	158.765	13.8657	16.0471	-1.87134	-15.9355	-0.264208	0	0	0	6.6977	0.00889543	0.00889543	0.00889543	647896
16.8	18666	22567.5	1684.32	7.89839	4.62119	0	36.1512	48.9315	7.35271	73.7507	7.59649	2.53216	172.459	14.2171	15.9592	-1.64602	-15.8723	0.239539	0	0	0	5.92062	0.0122335	0.0122335	0.0122335	1.53495e+06
17.1	19925	23497.3	1779.89	8.09755	4.78609	0	38.5897	51.7079	7.65563	75.6104	7.40965	2.46988	186.5	14.5756	15.798	-1.51804	-15.7223	0.282156	0	0	0	5.51501	0.0102176	0.0102176	0.0102176	937175
17.4	21826.2	25069.1	1875.9	8.31401	4.93466	0	42.2718	54.497	8.16776	77.6316	7.21673	2.40558	200.897	14.9652	15.7319	-1.25187	-15.682	-0.0333216	0	0	0	4.56416	0.000495699	0.000495699	0.000495699	490969
17.7	22075.4	24684.8	1919.69	8.53988	5.11328	0	42.7544	55.7693	8.04253	79.7406	7.02586	2.34195	215.667	15.3718	15.5948	-0.928719	-15.5584	-0.520088	0	0	0	3.41607	0.00418389	0.00418389	0.00418389	1.06406e+06
18	22453.5	24464.9	1992.63	8.7642	5.20644	0	43.4866	57.888	7.97088	81.8352	6.84603	2.28201	230.836	15.7756	15.7181	-0.824752	-15.6799	-0.721019	0	0	0	3.01095	-0.00687666	-0.00687666	-0.00687666	-1.16959e+06
18.3	22436.2	23842.9	2044.32	8.98588	5.32435	0	43.4531	59.3898	7.76825	83.9051	6.67714	2.22571	246.409	16.1746	15.7588	-0.968739	-15.7221	-0.464056	0	0	0	3.5259	-0.0397435	-0.0397435	-0.0397435	-3.06295e+06
18.6	24009.4	24887.5	2157.21	9.21239	5.52615	0	46.5001	62.6693	8.10858	86.0202	6.51296	2.17099	262.384	16.5823	15.566	-0.980875	-15.5315	-0.332439	0	0	0	3.61365	-0.036795	-0.036795	-0.036795	-3.89958e+06
18.9	25436.1	25698.7	2262.81	9.45171	5.70023	0	49.2631	65.7372	8.37288	88.2548	6.34806	2.11602	278.763	17.0131	15.4827	-0.966554	-15.4513	-0.188395	0	0	0	3.57946	-0.00036027	-0.00036027	-0.00036027	-629800
19.2	26560.3	26148.5	2358.51	9.69968	5.86663	0	51.4404	68.5173	8.51942	90.5702	6.18577	2.06192	295.56	17.4594	15.4382	-1.2101	-15.3905	0.0833769	0	0	0	4.49571	0.0385184	0.0385184	0.0385184	2.34917e+06
19.5	27639.8	26518.4	2436.35	9.95314	5.97616	0	53.5312	70.7786	8.63994	92.9368	6.02825	2.00942	312.797	17.9156	15.5512	-1.2167	-15.5032	-0.114107	0	0	0	4.4874	0.0271303	0.0271303	0.0271303	2.12049e+06
19.8	27563.7	25796.7	2485.52	10.2034	6.05234	0	53.3838	72.2071	8.40481	95.2737	5.88039	1.96013	330.484	18.3661	15.7416	-1.31801	-15.6805	-0.427195	0	0	0	4.80463	0.00631012	0.00631012	0.00631012	2.20704e+06
20.1	26056.8	23862.7	2495.85	10.4274	6.21257	0	50.4654	72.5071	7.77468	97.3648	5.7541	1.91803	348.625	18.7692	15.6722	-0.977193	-15.641	-0.151705	0	0	0	3.57498	0.0244367	0.0244367	0.0244367	1.60303e+06
20.4	27355.7	24569.2	2571.6	10.6323	6.37001	0	52.981	74.7078	8.00488	99.2789	5.64316	1.88105	7.1929	19.1382	15.5854	-0.917522	-15.5557	-0.285863	0	0	0	3.37557	-0.0263442	-0.0263442	-0.0263442	-3.24637e+06
20.7	24550.3	21663.6	2317.96	10.8217	6.5687	1.92033	47.5475	67.3394	7.0582	101.047	5.54439	1.84813	26.1466	19.4791	15.3832	-1.07599	-15.3391	-0.441832	0	0	0	4.01255	-0.0795852	-0.0795852	-0.0795852	-5.67925e+06
21	22627.8	19676.5	2071.32	10.9816	6.66185	3.89006	43.8242	60.1742	6.4108	102.54	5.46368	1.82123	45.4553	19.7669	15.3921	-0.81656	-15.3571	-0.640126	0	0	0	3.04363	0.00114959	0.00114959	0.00114959	-291137
21.3	19428.5	16704.5	1767.62	11.1065	6.6426	5.51708	37.628	51.3512	5.44248	103.706	5.40224	1.80075	65.0783	19.9917	15.6123	-0.148286	-15.5836	-0.934712	0	0	0	0.545181	0.0514525	0.0514525	0.0514525	2.94906e+06
21.6	14951.1	12764.4	1408.99	11.1852	6.67413	6.97419	28.9564	40.9328	4.15876	104.441	5.36422	1.78807	84.9575	20.1334	15.6487	0.292182	-15.6324	-0.651093	0	0	0	-1.07078	0.0488471	0.0488471	0.0488471	5.36276e+06
21.9	11929.8	10157	1140.79	11.216	6.65528	8.24996	23.1049	33.1412	3.30924	104.729	5.3495	1.78317	105.02	20.1888	15.7362	0.74735	-15.7118	-0.457635	0	0	0	-2.72329	0.0542139	0.0542139	0.0542139	2.15536e+06
22.2	10212.4	8693.62	966.706	11.2175	6.53463	9.34554	19.7787	28.0839	2.83246	104.743	5.34877	1.78292	125.181	20.1916	16.0289	1.17721	-15.9818	-0.349517	0	0	0	-4.21276	-0.0211018	-0.0211018	-0.0211018	-1.9105e+06
22.5	9040.68	7706.76	846.569	11.2021	6.61025	10.2587	17.5095	24.5938	2.51094	104.599	5.35613	1.78538	145.371	20.1638	15.8238	0.996427	-15.7712	-0.816634	0	0	0	-3.61514	-0.0752144	-0.0752144	-0.0752144	-5.62551e+06
22.8	7984.19	6824.41	746.74	11.1722	6.67117	11.0307	15.4633	21.6936	2.22346	104.319	5.37049	1.79016	165.549	20.1099	15.6374	1.39333	-15.5645	-0.576646	0	0	0	-5.11547	-0.0230252	-0.0230252	-0.0230252	-1.00217e+06
23.1	4655.13	4000.67	498.828	11.1115	6.81453	11.6908	9.01579	14.4915	1.30345	103.753	5.39983	1.79994	185.686	20.0006	15.2252	1.1309	-15.1763	-0.455611	0	0	0	-4.26164	-0.000248946	-0.000248946	-0.000248946	-729263
23.4	1564.51	1357.52	257.727	11.0054	6.78899	12.2569	3.03005	7.48727	0.442292	102.762	5.45189	1.8173	205.741	19.8096	15.1365	1.06109	-15.092	-0.468925	0	0	0	-4.02172	0.0186474	0.0186474	0.0186474	2.862e+06
23.7	560.168	492.098	175.921	10.8702	6.72	12.7049	1.0849	5.1107	0.16033	101.5	5.51967	1.83989	225.646	19.5664	15.1042	0.645252	-15.0902	-0.0638868	0	0	0	-2.44845	0.043754	0.043754	0.043754	929342
24	-617.115	-549.889	79.3039	10.7167	6.70158	13.0043	-1.19519	2.30387	-0.179159	100.067	5.59872	1.86624	245.334	19.2901	14.9318	0.0328301	-14.9294	-0.267461	0	0	0	-0.125995	-0.000744758	-0.000744758	-0.000744758	969814
24.3	-185.731	-168.024	109.304	10.5556	6.65344	13.1699	-0.359713	3.17541	-0.0547439	98.5626	5.68417	1.89472	264.762	19.0001	14.8138	-0.450619	-14.8055	-0.20402	0	0	0	1.74331	-0.0250931	-0.0250931	-0.0250931	-2.44351e+06
24.6	940.769	863.492	186.414	10.4039	6.72436	13.209	1.82203	5.41553	0.281334	97.1458	5.76707	1.92236	283.908	18.727	14.4468	-0.732097	-14.4247	0.320265	0	0	0	2.90544	0.00221884	0.00221884	0.00221884	960632
24.9	1459.94	1358.56	230.228	10.2619	6.7663	13.1426	2.82753	6.68838	0.442633	95.8197	5.84688	1.94896	302.771	18.4714	14.1613	-0.560733	-14.1455	0.36381	0	0	0	2.27003	0.0107208	0.0107208	0.0107208	679033
25.2	1503.05	1418.07	234.137	10.1215	6.73396	13.0054	2.91101	6.80195	0.462021	94.5091	5.92796	1.97599	321.37	18.2187	14.0347	-0.338888	-14.0278	0.283288	0	0	0	1.38391	0.00700645	0.00700645	0.00700645	965758
25.5	3253.69	3109.01	365.024	9.99368	6.55876	12.8099	6.30155	10.6044	1.01294	93.3154	6.0038	2.00127	339.715	17.9886	14.2276	-0.488364	-14.2139	0.388894	0	0	0	1.96781	-0.00587249	-0.00587249	-0.00587249	-1.16494e+06
25.8	4421.94	4270.61	457.251	9.88767	6.50989	12.5537	8.56416	13.2836	1.39141	92.3256	6.06816	2.02272	357.819	17.7978	14.1824	-0.332913	-14.1669	0.571559	0	0	0	1.34616	-0.0130033	-0.0130033	-0.0130033	-387036
26.1	6495.39	6324.97	597.92	9.8066	6.38936	12.2607	12.5799	17.3702	2.06074	91.5685	6.11833	2.03944	15.7123	17.6519	14.3314	-0.226227	-14.3257	0.336999	0	0	0	0.904725	-0.0467013	-0.0467013	-0.0467013	-4.55228e+06
26.4	8097.86	7926.36	710.969	9.75591	6.37266	11.955	15.6835	20.6544	2.58248	91.0952	6.15012	2.05004	33.4371	17.5606	14.2947	-0.147025	-14.2608	0.972748	0	0	0	0.590682	-0.0281569	-0.0281569	-0.0281569	726633
26.7	9369.27	9198	797.297	9.72711	6.38148	11.6597	18.1459	23.1624	2.99679	90.8263	6.16833	2.05611	51.0434	17.5088	14.2328	-0.409736	-14.205	0.789369	0	0	0	1.65221	0.0416237	0.0416237	0.0416237	1.39724e+06
27	9082.39	8936.41	792.986	9.70529	6.45309	11.4042	17.5902	23.0371	2.91157	90.6225	6.1822	2.06073	68.5781	17.4695	14.0433	-0.593801	-14.0069	0.817938	0	0	0	2.42752	0.0150562	0.0150562	0.0150562	2.40051e+06
27.3	9470.4	9338.3	825.892	9.68438	6.47746	11.1916	18.3417	23.9931	3.04251	90.4274	6.19554	2.06518	86.0673	17.4319	13.9603	-0.301381	-13.9346	0.790766	0	0	0	1.23901	0.0242645	0.0242645	0.0242645	2.77418e+06
27.6	9941.78	9818.2	865.067	9.66949	6.44145	11.0056	19.2547	25.1312	3.19886	90.2883	6.20508	2.06836	103.518	17.4051	14.0168	-0.526472	-13.9883	0.722165	0	0	0	2.15541	-0.00673015	-0.00673015	-0.00673015	-1.72528e+06
27.9	9191.52	9093.51	818.397	9.65222	6.39178	10.8328	17.8016	23.7754	2.96275	90.127	6.21619	2.07206	120.936	17.374	14.1004	-0.468254	-14.0906	0.239669	0	0	0	1.90333	-0.0965343	-0.0965343	-0.0965343	-4.19001e+06
28.2	10392.5	10295.1	893.271	9.6396	6.39797	10.6771	20.1275	25.9505	3.35424	90.0092	6.22432	2.07477	138.326	17.3513	14.0684	-0.434685	-14.0614	0.0855523	0	0	0	1.77064	-0.0601393	-0.0601393	-0.0601393	-3.22022e+06
28.5	12122.5	11994.4	997.731	9.65134	6.42379	10.519	23.4782	28.9852	3.90788	90.1188	6.21675	2.07225	155.688	17.3724	14.0289	-0.660746	-14.0121	0.184852	0	0	0	2.6998	-0.0298723	-0.0298723	-0.0298723	-1.32995e+06
28.8	12190.7	12028.4	1004.2	9.6782	6.4365	10.3703	23.6103	29.1731	3.91896	90.3696	6.1995	2.0665	173.05	17.4208	14.0402	-0.366977	-14.0241	0.563627	0	0	0	1.49895	-0.0458314	-0.0458314	-0.0458314	-1.60657e+06
